id;in_workspace_version;out_workspace_version
1;Electronics;application Cambridgeshire
2;scalable connecting Fantastic;Creek Investment Account Buckinghamshire
3;Shoes Intuitive;synthesize Baby Credit Card Account
4;Portugal Persistent;hacking Interactions
5;Idaho strategize;value-added Savings Account
6;Connecticut Avon Money Market Account;bus
7;Security Virginia;solid state Clothing deposit
8;Maine Checking Account markets;Unbranded programming District
9;Concrete;Pizza yellow programming
10;FTP;Persistent Investment Account
