id;ident;cnpj;fantasy_name;social_reason;acronym;address;phone;description;image_url;url;automatic_instantiation
1;interface;Supervisor Inverse Granite;Jewelery logistical;Belize Dollar sky blue Savings Account;Sports;Personal Loan Account;809.043.1256;../fake-data/blob/hipster.txt;Cambridgeshire asynchronous;http://jefferey.com;false
2;customer loyalty alarm Station;Investment Account RSS;mobile Direct;Licensed withdrawal Quality;markets Extended programming;Triple-buffered;486.463.8462 x6804;../fake-data/blob/hipster.txt;GB Handmade;https://jolie.info;true
3;Small Steel Fish;deposit primary Small;Optimization;facilitate Green Director;reboot invoice grey;partnerships;1-687-024-0005 x982;../fake-data/blob/hipster.txt;compress Personal Loan Account whiteboard;http://adell.com;false
4;reciprocal Generic Frozen Hat;Unbranded Frozen Gloves back-end;Wall;Investment Account;Legacy Slovenia;deposit Steel;1-195-203-3454;../fake-data/blob/hipster.txt;Savings Account Response;http://tina.com;true
5;Cambridgeshire;invoice;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;775-716-0135 x79295;../fake-data/blob/hipster.txt;panel;http://brendon.net;true
6;parsing;Borders;copying;relationships quantify generate;array Delaware;Refined New York PNG;114-508-2778 x920;../fake-data/blob/hipster.txt;transition;https://madyson.biz;false
7;input generating;magenta dynamic;Martinique Albania synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison;346.778.2513;../fake-data/blob/hipster.txt;synergies Costa Rican Colon;http://alessia.name;false
8;Bacon evolve;Utah Mission;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;3rd generation copying;(601) 063-7797 x278;../fake-data/blob/hipster.txt;Japan enable;http://erling.net;false
9;Fantastic;Generic Soft Fish;Producer Paradigm deposit;payment Buckinghamshire;Metal;Assistant navigate;1-595-215-3931 x0705;../fake-data/blob/hipster.txt;Indiana Denar Paradigm;https://tristin.com;false
10;eyeballs PCI indexing;Squares;View Buckinghamshire;deposit;circuit;District 1080p;701-261-1379;../fake-data/blob/hipster.txt;Ville Movies;http://anais.com;false
