id;state;unit;total_quantity;amount_used
1;optical;Jewelery;70369;61591
2;indexing Intelligent Oklahoma;calculating Malaysia;96703;54073
3;convergence;sensor;86264;11849
4;Data;Uruguay architect Fresh;86529;80878
5;Guyana Dollar;dynamic SAS;67270;50151
6;Gorgeous Plastic Soap Intranet transmitting;Investor Computers Chilean Peso Unidades de fomento;5183;18691
7;Home envisioneer;best-of-breed;62129;93499
8;mindshare AI;Gorgeous Soft Pants asymmetric;43276;33346
9;Gourde US Dollar Small Concrete Pants matrix;invoice Leone deposit;19899;78099
10;1080p Checking Account;eco-centric value-added functionalities;98036;1148
