id;class_name;uid;operation_enum
1;invoice system Sudanese Pound;incubate;UNFAVORITE
2;Markets Identity extensible;deposit Wells;COMMENT
3;Road Intranet Avon;Street Indian Rupee Ngultrum Dong;DELETE
4;Avon Pakistan Rupee;Technician Gorgeous Rubber Keyboard calculate;FAVORITE
5;North Dakota Street;Car Clothing auxiliary;UNFOLLOW
6;wireless Interactions;withdrawal Markets;CREATE
7;Awesome pixel Fantastic;Handcrafted Steel Car communities;UNFAVORITE
8;AGP SMS;Savings Account Cambridgeshire;VOTE
9;SAS;Manager;FOLLOW
10;Home Loan Account Orchestrator Views;bypass Plastic robust;UNFOLLOW
