id;tipo;app_key;app_secret;app_key_google;app_secret_google;request_url
1;PCI;Sports;24/365;Frozen;magenta Turkish Lira;green Chicken Tasty
2;Metal Lead;Communications Generic Granite Gloves;Accountability Assurance Auto Loan Account;seamless indexing Handcrafted;Malta Auto Loan Account online;deposit Central African Republic
3;markets protocol Savings Account;Shoes HDD;utilisation;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing;Fundamental Designer
4;Borders Intelligent whiteboard;Practical Steel Mouse;indexing;XSS;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat
5;Michigan Clothing;Borders HDD;redundant withdrawal Planner;National;benchmark;invoice program
6;synthesize;Investor Tuna;redefine;Shirt SDD;communities Refined;Pike Borders
7;payment Rustic;envisioneer Coordinator;SMTP;matrices;Savings Account redefine Multi-channelled;Team-oriented
8;initiatives;Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment
9;optical transmitter;Utah COM;Botswana;zero defect;Granite;Program
10;deposit;Estate;Incredible Sleek Arizona;Shirt Architect Developer;Automotive;invoice
