id;process_finished;first_act_started;consumable_resource_amount;activity_instantied;task_delegated;security_levels;notification_config;process_notifications
1;true;false;false;false;true;WITHOUT_SECURITY;NOT_NOTIFY;FIRST_ACTIVITY_HAS_STARTED
2;true;false;true;false;false;WITHOUT_SECURITY;NOT_NOTIFY;DECISION_BRANCH_COND
3;false;true;true;true;true;TLS_IF_AVAILABLE;NOTIFY_ALL_MANAGERS;PROCESS_HAS_FINISHED
4;false;false;true;true;true;TLS_IF_AVAILABLE;NOTIFY_SPECIFIC_MANAGERS;FIRST_ACTIVITY_HAS_STARTED
5;false;false;false;false;true;SSL;NOTIFY_ALL_MANAGERS;DECISION_BRANCH_COND
6;false;true;true;true;false;SSL;NOT_NOTIFY;CONSUMABLE_RESOURCE_5_AMOUNT
7;true;false;true;true;true;WITHOUT_SECURITY;NOTIFY_SPECIFIC_MANAGERS;TASK_DELEGATED
8;false;true;false;false;false;WITHOUT_SECURITY;NOTIFY_SPECIFIC_MANAGERS;TASK_DELEGATED
9;false;false;true;false;true;SSL;NOTIFY_SPECIFIC_MANAGERS;TASK_DELEGATED
10;false;false;true;true;true;TLS_IF_AVAILABLE;NOTIFY_ALL_MANAGERS;TASK_DELEGATED
