id;x;y;visible;the_process
1;25990;80986;false;National object-oriented Mountains
2;89014;6062;true;Handcrafted Wooden Sausages Health deposit
3;44767;4456;false;Paradigm Saint Martin
4;24189;35426;true;Codes specifically reserved for testing purposes Generic upward-trending
5;80696;76085;false;China vortals
6;4389;56087;false;Manors cyan Handcrafted Fresh Keyboard
7;98119;99498;true;AI Profound
8;96062;10889;false;Optimization Administrator
9;71172;95302;true;Hawaii high-level
10;43699;91938;true;Intelligent Rubber Chair
