id;date;operation_enum;class_name;uid
1;2019-09-17;VIEW;eyeballs;Multi-layered
2;2019-09-17;COMMENT;Rustic;Granite Strategist
3;2019-09-17;DELETE;Home Bacon;migration
4;2019-09-17;UNFAVORITE;compressing;virtual Quetzal
5;2019-09-18;FAVORITE;Refined Liaison;Ergonomic
6;2019-09-17;UNFAVORITE;Pass;Bedfordshire Plastic Checking Account
7;2019-09-17;VIEW;vortals;Graphic Interface calculating Gorgeous Cotton Pants
8;2019-09-17;FAVORITE;Norway Consultant;CSS alliance
9;2019-09-17;FAVORITE;reboot Identity Electronics;Berkshire calculate
10;2019-09-17;VOTE;Fresh redundant;open system
