id;name;description;kind;range_from;range_to;how_to_measure
1;Optimization Administrator;../fake-data/blob/hipster.txt;Metrics Mayotte black;45896;43699;../fake-data/blob/hipster.txt
2;Savings Account Intelligent Rubber Chair Supervisor;../fake-data/blob/hipster.txt;synthesizing;73212;90789;../fake-data/blob/hipster.txt
3;Quality Markets;../fake-data/blob/hipster.txt;Metrics Producer;39279;16167;../fake-data/blob/hipster.txt
4;Springs card Enterprise-wide;../fake-data/blob/hipster.txt;Prairie back-end;96016;56508;../fake-data/blob/hipster.txt
5;program Borders Sports;../fake-data/blob/hipster.txt;cross-platform;37698;92619;../fake-data/blob/hipster.txt
6;Self-enabling deposit;../fake-data/blob/hipster.txt;virtual;17788;84804;../fake-data/blob/hipster.txt
7;transmitter Gorgeous;../fake-data/blob/hipster.txt;Ameliorated grow;89464;66243;../fake-data/blob/hipster.txt
8;Fresh;../fake-data/blob/hipster.txt;Shirt;99008;91953;../fake-data/blob/hipster.txt
9;Analyst Sleek Soft Shoes expedite;../fake-data/blob/hipster.txt;Handmade Automotive;5770;95092;../fake-data/blob/hipster.txt
10;Indiana extensible;../fake-data/blob/hipster.txt;Engineer mesh Louisiana;41560;65663;../fake-data/blob/hipster.txt
