id;ident;how_long;how_long_unit;planned_begin;planned_end;script;delegable;auto_allocable
1;yellow;37725;Ergonomic Rubber Chicken;2019-09-17;2019-09-17;../fake-data/blob/hipster.txt;true;false
2;quantifying Garden;81446;hybrid;2019-09-17;2019-09-16;../fake-data/blob/hipster.txt;true;false
3;Accountability Handmade Cotton Bacon;96758;China;2019-09-17;2019-09-16;../fake-data/blob/hipster.txt;true;true
4;Producer infrastructures;37201;quantify;2019-09-17;2019-09-16;../fake-data/blob/hipster.txt;true;true
5;Managed Dobra application;23823;iterate;2019-09-17;2019-09-17;../fake-data/blob/hipster.txt;false;true
6;encoding Direct;38920;Industrial;2019-09-16;2019-09-16;../fake-data/blob/hipster.txt;false;false
7;Usability;67676;Borders Borders Practical;2019-09-17;2019-09-17;../fake-data/blob/hipster.txt;true;false
8;Danish Krone parse;79157;back-end Unbranded Cambridgeshire;2019-09-17;2019-09-16;../fake-data/blob/hipster.txt;true;false
9;circuit Guam;70583;Liaison;2019-09-16;2019-09-16;../fake-data/blob/hipster.txt;true;true
10;Refined Practical Algerian Dinar;7276;programming panel;2019-09-17;2019-09-17;../fake-data/blob/hipster.txt;false;false
