id;date;time;event
1;2019-10-03;2019-10-02T16:05:24;synthesizing mesh
2;2019-10-03;2019-10-03T05:59:03;withdrawal
3;2019-10-03;2019-10-03T13:06:46;Shoes
4;2019-10-02;2019-10-02T22:31:16;copy Rustic Fresh Hat Checking Account
5;2019-10-02;2019-10-02T14:58:09;metrics engage
6;2019-10-03;2019-10-02T23:32:53;Orchestrator
7;2019-10-02;2019-10-02T19:53:56;Sudanese Pound Cotton
8;2019-10-02;2019-10-03T07:59:52;Auto Loan Account Markets
9;2019-10-02;2019-10-03T04:34:31;Home Loan Account deposit
10;2019-10-03;2019-10-02T13:35:45;Analyst invoice
