id;why;from_date;to_date
1;../fake-data/blob/hipster.txt;Accountability Handmade Cotton Bacon;intermediate Table quantify
2;../fake-data/blob/hipster.txt;Wyoming interface Cotton;quantify
3;../fake-data/blob/hipster.txt;JSON Texas;bandwidth
4;../fake-data/blob/hipster.txt;application Configurable iterate;Berkshire navigating
5;../fake-data/blob/hipster.txt;superstructure;streamline
6;../fake-data/blob/hipster.txt;Interactions;Fantastic time-frame Quality
7;../fake-data/blob/hipster.txt;Borders Borders Practical;methodical
8;../fake-data/blob/hipster.txt;Pakistan;parse
9;../fake-data/blob/hipster.txt;neural Wooden Optimization;Tasty Rubber Car mindshare EXE
10;../fake-data/blob/hipster.txt;bandwidth Liaison;program Auto Loan Account Refined
