id;ident;name;description;mtbf_time;mtbf_unit_time;currency;cost;is_active
1;Pakistan;parse;../fake-data/blob/hipster.txt;79157;back-end Unbranded Cambridgeshire;Designer;5587;false
2;EXE cross-media Frozen;Syrian Pound;../fake-data/blob/hipster.txt;83696;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;70624;false
3;Avon;Planner;../fake-data/blob/hipster.txt;37427;transition open-source Interactions;Pennsylvania dynamic bandwidth;48166;true
4;Oklahoma communities;array supply-chains Advanced;../fake-data/blob/hipster.txt;40520;Arizona hack;Fresh payment synthesize;58336;false
5;seize Glen Refined;Mandatory Assistant;../fake-data/blob/hipster.txt;1215;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;7543;true
6;Savings Account;heuristic Orchestrator Naira;../fake-data/blob/hipster.txt;38420;protocol Product Usability;Regional;45565;false
7;B2B Mouse;Junctions one-to-one;../fake-data/blob/hipster.txt;58365;Fantastic;zero defect Ridges Beauty;27976;false
8;multi-byte Pound Sterling;Frozen;../fake-data/blob/hipster.txt;7620;Usability models New Mexico;markets Accountability EXE;4521;false
9;portals;online Strategist Shirt;../fake-data/blob/hipster.txt;59413;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;7535;true
10;haptic Producer Agent;Rhode Island capacitor;../fake-data/blob/hipster.txt;75708;enhance Multi-channelled purple;Response;60617;false
