id;filtro;idioma;grafico_de_esforco;grafico_de_custos;grafico_de_desempenho;grafico_de_tarefas;senha_em_recuperacao
1;Forward;Pre-emptive Reduced;true;false;true;true;true
2;Practical AI didactic;Tunnel;false;true;true;true;false
3;monitoring Infrastructure bandwidth;ROI;false;false;false;true;true
4;Borders;Integration;false;true;true;false;true
5;Sleek Fresh Shoes Borders Internal;open-source Ouguiya;true;true;false;true;true
6;optical deposit;Pizza Fish next-generation;false;true;true;true;false
7;El Salvador Colon US Dollar purple;XSS RSS Outdoors;true;false;false;true;false
8;reboot;Jewelery;true;true;true;true;false
9;black;Money Market Account;true;true;true;false;false
10;deposit Solomon Islands;Wooden radical Beauty;false;true;true;false;false
