id;local_state;begin_date;end_date;working_hours;date_delegated_to;date_delegated_from
1;back up;2019-09-17;2019-09-17;60028;2019-09-17;2019-09-18
2;unleash Decentralized;2019-09-17;2019-09-17;55433;2019-09-17;2019-09-17
3;human-resource;2019-09-17;2019-09-17;94850;2019-09-18;2019-09-17
4;Savings Account;2019-09-17;2019-09-17;78581;2019-09-17;2019-09-17
5;Health input;2019-09-17;2019-09-17;61525;2019-09-17;2019-09-17
6;Borders matrix;2019-09-17;2019-09-17;37580;2019-09-17;2019-09-17
7;Drive Kwanza override;2019-09-18;2019-09-17;64660;2019-09-17;2019-09-17
8;European Unit of Account 9(E.U.A.-9) Mission;2019-09-17;2019-09-17;12340;2019-09-18;2019-09-17
9;intermediate;2019-09-17;2019-09-17;92838;2019-09-17;2019-09-17
10;auxiliary;2019-09-17;2019-09-17;21550;2019-09-17;2019-09-17
