id;ident;name;description;is_active
1;Fantastic Fresh Salad;Steel Avon Visionary;../fake-data/blob/hipster.txt;true
2;PCI SAS;Interactions;../fake-data/blob/hipster.txt;true
3;navigate repurpose;Buckinghamshire;../fake-data/blob/hipster.txt;false
4;system Triple-buffered;Cotton;../fake-data/blob/hipster.txt;false
5;Tools;Arizona hack;../fake-data/blob/hipster.txt;true
6;quantifying;synthesize Idaho Markets;../fake-data/blob/hipster.txt;false
7;asymmetric EXE;web services;../fake-data/blob/hipster.txt;true
8;Strategist;Incredible Fresh Car Tuvalu;../fake-data/blob/hipster.txt;true
9;Gorgeous Rubber Chicken Associate Central African Republic;magenta heuristic;../fake-data/blob/hipster.txt;true
10;Naira iterate;Unbranded Plastic Chips Brand Regional;../fake-data/blob/hipster.txt;false
